manufacturer,category,screen_size,screen,ram,operating_system,weight,price,width_screen,height_screen,touchscreen,amd,intel,freq_cpu,ssd,hdd,hybrid,flash,brand_gpu
10,0,10.1,3,4,0,0.69,2836548.0,1920,1200,0,0.0,1.0,1.4,0.0,0.0,0.0,64.0,1
0,3,15.6,5,8,4,2.2,7478172.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,2
7,3,15.6,2,4,4,1.86,3543373.08,1920,1080,0,1.0,0.0,2.5,256.0,0.0,0.0,0.0,0
7,3,13.3,2,8,4,1.49,9807876.0,1920,1080,0,0.0,1.0,1.8,512.0,0.0,0.0,0.0,1
0,3,15.6,0,4,4,2.4,3414528.0,1366,768,0,0.0,1.0,2.4,0.0,1024.0,0.0,0.0,1
4,3,15.6,2,8,4,2.13,6827277.6,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,0
7,3,15.6,2,4,4,1.91,3903588.0,1920,1080,0,0.0,1.0,,128.0,0.0,0.0,0.0,1
2,3,15.6,0,4,4,,5212401.48,1366,768,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
11,1,17.3,2,16,4,2.43,21776508.0,1920,1080,0,0.0,1.0,2.8,256.0,2048.0,0.0,0.0,2
2,3,15.6,2,4,2,,3690180.0,1920,1080,0,0.0,1.0,,256.0,0.0,0.0,0.0,1
4,3,17.3,2,16,4,2.8,11550708.0,1920,1080,0,0.0,1.0,1.8,256.0,2048.0,0.0,0.0,0
4,4,14.0,2,8,4,1.7,7816068.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
10,3,14.0,5,8,3,1.7,5326308.0,1920,1080,0,0.0,1.0,2.7,256.0,0.0,0.0,0.0,1
2,3,14.0,2,8,4,1.4,8367372.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
7,3,15.6,2,8,4,1.86,6135480.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
2,4,15.6,2,16,4,1.8,17632836.0,1920,1080,0,0.0,1.0,2.8,512.0,0.0,0.0,0.0,2
7,3,15.6,0,4,4,1.86,3900831.48,1366,768,0,0.0,1.0,,0.0,500.0,0.0,0.0,0
7,3,14.0,0,4,4,1.44,2036268.0,1366,768,0,0.0,1.0,1.6,32.0,0.0,0.0,0.0,1
10,3,15.6,2,4,4,1.9,4881708.0,1920,1080,0,0.0,1.0,2.5,0.0,1024.0,0.0,0.0,1
2,1,17.3,2,12,2,,8438508.0,1920,1080,0,0.0,1.0,2.8,0.0,1024.0,0.0,0.0,2
13,4,13.5,0,4,4,1.252,9683388.0,2256,1504,1,0.0,1.0,2.5,128.0,0.0,0.0,0.0,1
4,4,13.3,5,8,4,1.4,8491860.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,0
4,3,15.6,2,8,4,2.2,7736040.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,0
11,1,17.3,2,8,4,2.7,9736740.0,1920,1080,0,0.0,1.0,2.5,128.0,1024.0,0.0,0.0,2
0,3,14.0,0,8,4,2.1,3458988.0,1366,768,0,0.0,1.0,,0.0,1024.0,0.0,0.0,1
2,1,15.6,2,8,4,2.2,8438508.0,1920,1080,0,0.0,1.0,2.8,0.0,1024.0,0.0,0.0,2
10,3,15.6,2,8,3,2.2,4614948.0,1920,1080,0,0.0,1.0,2.5,0.0,2048.0,0.0,0.0,1
4,3,15.6,2,8,4,2.02,7602660.0,1920,1080,0,0.0,1.0,1.8,128.0,1024.0,0.0,0.0,1
0,3,15.6,2,4,4,2.2,4712760.0,1920,1080,0,0.0,1.0,2.7,0.0,1024.0,0.0,0.0,2
7,3,17.3,2,8,4,2.5,8687484.0,1920,1080,0,0.0,1.0,1.6,128.0,1024.0,0.0,0.0,2
4,4,15.6,5,8,4,1.88,9747054.72,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
1,4,12.0,7,8,5,0.92,13426920.0,2304,1440,0,0.0,1.0,1.3,512.0,0.0,0.0,0.0,1
7,3,14.0,2,8,4,1.63,7647120.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
10,3,15.6,2,4,4,2.2,3547908.0,1920,1080,0,1.0,0.0,2.5,128.0,0.0,0.0,0.0,0
0,3,15.6,0,4,4,2.1,3512340.0,1366,768,0,1.0,0.0,,0.0,1024.0,0.0,0.0,0
4,1,15.6,5,16,4,2.65,11995308.0,1920,1080,0,0.0,1.0,2.8,128.0,1024.0,0.0,0.0,2
7,4,15.6,5,8,4,1.83,6215508.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,2
7,3,15.6,2,8,4,1.96,5326219.08,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
2,1,15.6,5,16,4,2.2,12884508.0,1920,1080,0,0.0,1.0,2.8,128.0,1024.0,0.0,0.0,2
4,4,13.3,5,8,4,1.21,14662908.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,1
2,1,15.6,2,8,4,2.45,6215508.0,1920,1080,0,1.0,0.0,,0.0,1024.0,0.0,0.0,0
0,3,15.6,2,8,4,2.2,6126588.0,1920,1080,0,0.0,1.0,1.8,0.0,1024.0,0.0,0.0,2
7,3,13.3,2,16,4,1.49,10643724.0,1920,1080,0,0.0,1.0,1.8,512.0,0.0,0.0,0.0,1
4,1,15.6,2,8,4,2.65,10625940.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,2
2,4,14.0,2,8,4,1.25,9327708.0,1920,1080,0,0.0,1.0,2.7,256.0,0.0,0.0,0.0,1
0,0,13.3,5,8,4,1.5,7531524.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
4,3,15.6,2,8,2,2.2,5334310.8,1920,1080,0,0.0,1.0,2.7,0.0,1024.0,0.0,0.0,0
4,3,15.6,2,4,2,2.2,4312620.0,1920,1080,0,0.0,1.0,,256.0,0.0,0.0,0.0,0
2,3,15.6,2,6,4,,5130684.0,1920,1080,0,0.0,1.0,2.4,256.0,0.0,0.0,0.0,2
7,1,15.6,5,12,4,2.62,11106108.0,1920,1080,0,0.0,1.0,2.8,128.0,1024.0,0.0,0.0,2
7,3,15.6,2,8,4,1.91,6393348.0,1920,1080,0,0.0,1.0,2.7,256.0,0.0,0.0,0.0,0
7,3,15.6,2,4,4,2.1,3103308.0,1920,1080,0,1.0,0.0,1.5,0.0,500.0,0.0,0.0,0
4,3,15.6,2,8,2,2.2,5753124.0,1920,1080,0,0.0,1.0,1.6,0.0,1024.0,0.0,0.0,0
7,4,13.3,5,8,4,1.38,9950148.0,1920,1080,0,0.0,1.0,2.7,256.0,0.0,0.0,0.0,2
13,4,13.5,0,8,4,1.252,11915280.0,2256,1504,1,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
7,3,14.0,5,6,4,1.58,5859828.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,2
10,3,15.6,2,4,4,1.85,3689290.8,1920,1080,0,0.0,1.0,,0.0,1024.0,0.0,0.0,1
2,4,14.0,5,8,4,1.3,10608156.0,1920,1080,0,0.0,1.0,2.7,256.0,0.0,0.0,0.0,2
11,1,15.6,2,16,4,2.2,11550708.0,1920,1080,0,0.0,1.0,2.8,256.0,1024.0,0.0,0.0,2
10,3,14.0,5,8,4,1.58,13160160.0,1920,1080,0,0.0,1.0,2.7,256.0,0.0,0.0,0.0,1
2,4,15.6,2,16,4,1.5,11221704.0,1920,1080,0,0.0,1.0,1.8,256.0,1024.0,0.0,0.0,2
4,4,13.3,8,8,4,1.23,12262068.0,3200,1800,0,0.0,1.0,2.4,256.0,0.0,0.0,0.0,1
10,0,13.3,5,8,4,1.37,12439908.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
7,3,14.0,3,4,4,1.63,6420024.0,1366,768,0,0.0,1.0,1.6,0.0,500.0,0.0,0.0,1
4,4,13.3,5,8,4,1.21,14485068.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
7,0,13.3,5,8,4,1.26,12439819.08,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
7,3,14.0,2,8,4,1.63,9638928.0,1920,1080,0,0.0,1.0,1.8,512.0,0.0,0.0,0.0,1
4,3,15.6,5,8,4,2.16,10050894.36,1920,1080,0,0.0,1.0,1.8,256.0,1024.0,0.0,0.0,2
2,3,17.3,2,4,4,,5015088.0,1920,1080,0,0.0,1.0,,0.0,1024.0,0.0,0.0,2
2,3,15.6,2,8,4,1.7,9941256.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,2
0,3,15.6,5,6,4,2.1,4259268.0,1920,1080,0,0.0,1.0,2.4,0.0,1024.0,0.0,0.0,1
11,1,15.6,2,16,4,1.8,19931418.0,1920,1080,0,0.0,1.0,2.8,256.0,2048.0,0.0,0.0,2
10,3,15.6,2,8,3,2.2,5593068.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,2
7,3,17.3,2,16,4,2.5,11301732.0,1920,1080,0,0.0,1.0,1.8,512.0,0.0,0.0,0.0,2
0,3,15.6,0,4,4,2.1,4010292.0,1366,768,0,1.0,0.0,,256.0,0.0,0.0,0.0,0
7,3,15.6,0,4,3,1.86,2303028.0,1366,768,0,0.0,1.0,1.6,0.0,500.0,0.0,0.0,1
7,3,14.0,2,8,4,1.63,7220304.0,1920,1080,0,0.0,1.0,1.6,0.0,1024.0,0.0,0.0,1
2,3,14.0,0,4,4,1.65,2471887.08,1366,768,0,1.0,0.0,1.5,64.0,0.0,0.0,0.0,0
4,3,17.3,2,16,4,2.8,12413232.0,1920,1080,0,0.0,1.0,1.8,256.0,2048.0,0.0,0.0,0
7,3,17.3,2,8,4,2.5,8251776.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
4,3,15.6,0,8,4,2.36,5681899.08,1366,768,0,0.0,1.0,2.5,0.0,1024.0,0.0,0.0,0
4,3,15.6,2,4,4,2.2,3992508.0,1920,1080,0,0.0,1.0,,0.0,1024.0,0.0,0.0,0
0,4,14.0,5,8,4,1.6,7860528.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,1
0,3,15.6,2,4,4,2.2,5086224.0,1920,1080,0,0.0,1.0,2.7,256.0,0.0,0.0,0.0,2
7,3,15.6,0,8,4,2.05,5317416.0,1366,768,0,0.0,1.0,2.7,0.0,1024.0,0.0,0.0,1
7,3,14.0,2,8,4,1.63,8785296.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,1
10,3,15.6,0,4,3,1.9,2243985.12,1366,768,0,0.0,1.0,1.1,0.0,1024.0,0.0,0.0,1
2,1,17.3,2,8,4,,8340696.0,1920,1080,0,0.0,1.0,2.5,128.0,1024.0,0.0,0.0,2
10,3,15.6,2,4,3,2.2,4437108.0,1920,1080,0,0.0,1.0,2.5,0.0,1024.0,0.0,0.0,2
7,3,13.3,5,4,4,1.32,6215508.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
0,3,17.3,5,4,4,,5824260.0,1920,1080,0,0.0,1.0,2.7,0.0,1024.0,0.0,0.0,2
10,3,14.0,5,8,4,1.75,9923649.84,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,0
10,1,15.6,5,8,3,2.4,7727148.0,1920,1080,0,0.0,1.0,2.8,256.0,0.0,0.0,0.0,2
16,3,15.6,0,4,4,2.1,5352984.0,1366,768,0,0.0,1.0,2.3,0.0,500.0,0.0,0.0,1
